time_s,v_m_s,omega_rad_s,clearance_m
4.900000000000000355e+00,9.999999766324639827e-01,9.999999898671189102e-01,1.535197315497096149e+00
5.000000000000000000e+00,9.999999796803903385e-01,9.999999954953587844e-01,1.550052262121415447e+00
5.100000000000000533e+00,9.999999851676947271e-01,9.999999981966639639e-01,1.561336271226575922e+00
5.200000000000000178e+00,9.999999894443487580e-01,1.000000000000000000e+00,1.569014598437139307e+00
5.300000000000000711e+00,9.999999991386949727e-01,1.000000000000000000e+00,1.573063708753653200e+00
5.400000000000000355e+00,1.000000000000000000e+00,9.999999977007378860e-01,1.573471225208075586e+00
5.500000000000000000e+00,1.000000000000000000e+00,9.999999979955602747e-01,1.570235903453079951e+00
5.600000000000000533e+00,9.999999874976431835e-01,1.000000000000000000e+00,1.563367629206086740e+00
5.700000000000000178e+00,9.999999945121434974e-01,1.000000000000000000e+00,1.552887438272090304e+00
5.800000000000000711e+00,1.000000000000000000e+00,9.999999999425567276e-01,1.538827562017848871e+00
5.900000000000000355e+00,1.000000000000000000e+00,6.602443001238016418e-01,1.521231501946389564e+00
6.000000000000000000e+00,9.999999958668988054e-01,1.931785597963689731e-03,1.503506655341122711e+00
6.100000000000000533e+00,1.000000000000000000e+00,-2.908548065763511339e-02,1.490143244610531159e+00
6.200000000000000178e+00,9.999999990640684455e-01,-2.928491997116921056e-02,1.477195009976753237e+00
6.300000000000000711e+00,1.000000000000000000e+00,-2.907460824485610246e-02,1.464537214353506034e+00
6.400000000000000355e+00,9.999999973385258478e-01,-3.518910914832709680e-02,1.452167879370745762e+00
6.500000000000000000e+00,1.000000000000000000e+00,-3.395528773542471485e-02,1.440147808957799480e+00
6.600000000000000533e+00,9.999999992039693142e-01,-3.057351477238403475e-02,1.428464898186736054e+00
6.700000000000000178e+00,1.000000000000000000e+00,-4.056642720452764694e-02,1.417085683019050801e+00
6.800000000000000711e+00,1.000000000000000000e+00,-3.675810718450273767e-02,1.406109589687363215e+00
6.900000000000000355e+00,9.999999999219348901e-01,-3.085150167874003979e-02,1.395498929838741464e+00
7.000000000000000000e+00,1.000000000000000000e+00,-3.503645331869439938e-02,1.385195093375165332e+00
7.100000000000000533e+00,1.000000000000000000e+00,-4.005526406246756599e-02,1.375239819117870521e+00
7.200000000000000178e+00,9.999999999991364685e-01,-3.371028294328934360e-02,1.365683186467037569e+00
7.300000000000000711e+00,1.000000000000000000e+00,-5.098224069698480132e-02,1.356462167412095798e+00
7.400000000000000355e+00,9.999999999954328755e-01,-2.918794753089767879e-02,1.347748916335258063e+00
7.500000000000000000e+00,9.999999999906382664e-01,-1.741816824283912157e-02,1.339326471340205327e+00
7.600000000000000533e+00,1.000000000000000000e+00,-3.876138343612227366e-02,1.331077601815387812e+00
7.700000000000000178e+00,1.000000000000000000e+00,-2.112490126752913575e-02,1.323215086137092822e+00
7.800000000000000711e+00,1.000000000000000000e+00,-9.443310446893341675e-03,1.315563182884501803e+00
7.900000000000000355e+00,1.000000000000000000e+00,2.039758816449278866e-02,1.308005439267772463e+00
8.000000000000000000e+00,9.999999999999188427e-01,6.002507425220705850e-02,1.300244319017027639e+00
8.099999999999999645e+00,9.999999999999328315e-01,1.219394657332124737e-01,1.291884901969285959e+00
8.200000000000001066e+00,1.000000000000000000e+00,2.427545629128796956e-01,1.282311009885523934e+00
8.300000000000000711e+00,9.999999999999861222e-01,2.037174355559771277e-01,1.270323781274204311e+00
8.400000000000000355e+00,9.999999999999875655e-01,5.281949567632289455e-03,1.258115542059931924e+00
8.500000000000000000e+00,9.999999999999952260e-01,-8.114455541156816443e-01,1.253333877416488606e+00
8.599999999999999645e+00,9.999999999999997780e-01,-1.000000000000000000e+00,1.264579292455945581e+00
8.700000000000001066e+00,9.999999999999976685e-01,-9.999999999999955591e-01,1.293152111589685349e+00
8.800000000000000711e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.337669761758718989e+00
8.900000000000000355e+00,4.396007542332186491e-01,-1.000000000000000000e+00,1.362800812126313543e+00
9.000000000000000000e+00,-8.425620242174308716e-02,-9.999999999999998890e-01,1.357248138439640872e+00
9.099999999999999645e+00,-9.195452070795842592e-02,-1.000000000000000000e+00,1.350557257870107941e+00
