time_s,x_m,y_m,theta_rad
2.500000000000000000e+00,2.377535533170145765e+00,-3.903772140969256066e-01,-9.404143217093947904e-02
2.600000000000000089e+00,2.477093669406370768e+00,-3.997675020621004327e-01,-9.094339585298157058e-02
2.700000000000000178e+00,2.576680419284088419e+00,-4.088493107361974577e-01,-8.759193821136956881e-02
2.800000000000000266e+00,2.676297047109882143e+00,-4.175973082566200589e-01,-8.378373424705586048e-02
2.900000000000000355e+00,2.775946266649903738e+00,-4.259658828214901161e-01,-8.025235782880406343e-02
3.000000000000000000e+00,2.875624417385653775e+00,-4.339825070342544500e-01,-7.561746613718259291e-02
3.100000000000000089e+00,2.975338653531846678e+00,-4.415370493619706349e-01,-7.071388189823848980e-02
3.200000000000000178e+00,3.075088735044400057e+00,-4.486025456675319933e-01,-6.524981259105584741e-02
3.300000000000000266e+00,3.174875933659149663e+00,-4.551228978528467639e-01,-5.854546935314246248e-02
3.400000000000000355e+00,3.274704604005508557e+00,-4.609741008811129581e-01,-5.008151512838987518e-02
3.500000000000000000e+00,3.374579222307345194e+00,-4.659801591171374713e-01,-4.093554104583252418e-02
3.600000000000000089e+00,3.474495448080791693e+00,-4.700725700434357224e-01,-2.952082010720733646e-02
3.700000000000000178e+00,3.574451877304190006e+00,-4.730242232933485891e-01,-1.445687024147662703e-02
3.800000000000000266e+00,3.674441427431335949e+00,-4.744698599596601229e-01,8.066402559758659857e-03
3.900000000000000355e+00,3.774438174106463428e+00,-4.736632284512459212e-01,3.258848856884032086e-02
4.000000000000000000e+00,3.874385078326371801e+00,-4.704049563851880333e-01,6.744568285138097252e-02
4.100000000000000533e+00,3.974157718526011518e+00,-4.636655003542289322e-01,1.088182607009059721e-01
4.200000000000000178e+00,4.073566231848527508e+00,-4.528051376067371847e-01,1.616088736727629427e-01
4.299999999999999822e+00,4.172263200139722628e+00,-4.367145052348604950e-01,2.153640195557398329e-01
4.400000000000000355e+00,4.269953066824003329e+00,-4.153441999678051388e-01,2.855724895010607334e-01
4.500000000000000000e+00,4.365903120395543624e+00,-3.871735198265915390e-01,3.592162400953997081e-01
4.600000000000000533e+00,4.459520383857342729e+00,-3.520194591518399641e-01,4.196137113327192969e-01
4.700000000000000178e+00,4.550845022399871986e+00,-3.112786884782709484e-01,4.373341819670540920e-01
4.800000000000000711e+00,4.641433414813495695e+00,-2.689260833645905069e-01,5.373341819670540698e-01
4.900000000000000355e+00,4.727341037318498529e+00,-2.177413161429073984e-01,6.373341819670540476e-01
5.000000000000000000e+00,4.807709527470081845e+00,-1.582358094783632430e-01,7.373341809537659053e-01
5.100000000000000533e+00,4.881735872182143332e+00,-9.100412139767573294e-02,8.373341805033017726e-01
5.200000000000000178e+00,4.948680424783731269e+00,-1.671800842676329779e-02,9.373341803229682245e-01
5.300000000000000711e+00,5.007874297265372476e+00,6.388028714773474892e-02,1.037334180322968313e+00
5.400000000000000355e+00,5.058726044213403661e+00,1.499854543278020258e-01,1.137334180322968402e+00
5.500000000000000000e+00,5.100727571244002334e+00,2.407371580423764423e-01,1.237334180093042191e+00
5.600000000000000533e+00,5.133459212960865159e+00,3.352286371847781887e-01,1.337334179892598174e+00
5.700000000000000178e+00,5.156593925328994743e+00,4.325157629188482455e-01,1.437334179892598263e+00
5.800000000000000711e+00,5.169900554433350948e+00,5.316264763262391613e-01,1.537334179892598351e+00
5.900000000000000355e+00,5.173246144690590853e+00,6.315704957862882107e-01,1.637334179886853924e+00
6.000000000000000000e+00,5.166597267996317022e+00,7.313492131497838500e-01,1.703358609899234155e+00
6.100000000000000533e+00,5.153379830392556649e+00,8.304718607159615740e-01,1.703551788459030547e+00
6.200000000000000178e+00,5.140143244610531070e+00,9.295919535167408432e-01,1.700643240393266975e+00
6.300000000000000711e+00,5.127195009976753148e+00,1.028750126155963951e+00,1.697714748396150108e+00
6.400000000000000355e+00,5.114537214353505945e+00,1.127945792442148543e+00,1.694807287571664434e+00
6.500000000000000000e+00,5.102167879370745673e+00,1.227177841190800311e+00,1.691288376656831627e+00
6.600000000000000533e+00,5.090147808957799391e+00,1.326452802320320812e+00,1.687892847883289082e+00
6.700000000000000178e+00,5.078464898186735965e+00,1.425768005486778289e+00,1.684835496406050570e+00
6.800000000000000711e+00,5.067085683019050713e+00,1.525118463272173042e+00,1.680778853685597873e+00
